	Bg_he	Bo_he	Ca_he	Cf_he	Cm_he	Hs_454_he	Kf_he	Md_he	Ms_he	Nc_he	Nt_454_he	Pi_he	Rf_he	Rs_454_he	SRA_Ba_he	SRA_Cd_he	SRA_Cw_he	SRA_Es_he	SRA_Of_he	SRA_Pa2016_he	SRA_Ps_he	Zn_he	Cb_he	LS05_he	LS17_he	LS19_he	LS26_he	LS29_he	Mng_he	PG24_he
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	81.9	84.8	85.2	70.8	78.9	89.9	72.5	80.0	78.9	69.5	89.7	64.8	75.2	89.7	85.0	52.5	79.4	82.8	78.7	80.2	67.1	85.7	64.3	79.9	79.6	78.0	77.7	78.4	87.5	78.5
'1	10.1	7.8	7.6	19.2	12.9	6.3	19.7	9.8	14.7	21.8	6.9	23.0	18.0	6.7	9.2	23.7	14.1	9.7	11.1	12.2	22.0	12.3	23.2	13.2	13.4	15.5	15.6	15.4	10.7	15.3
'2	3.8	3.0	2.9	4.8	3.9	2.6	4.0	3.9	3.3	4.6	2.3	5.9	3.4	2.5	2.9	8.6	3.4	4.0	4.4	3.9	5.9	1.2	5.7	3.2	3.5	3.2	3.4	3.2	1.1	3.0
'3	1.8	1.7	1.6	2.2	1.8	0.8	1.6	2.3	1.4	1.7	0.7	2.7	1.3	0.7	1.3	4.6	1.3	1.7	2.3	1.7	2.3	0.4	2.5	1.6	1.6	1.4	1.5	1.4	0.3	1.4
'4	0.9	1.0	0.9	1.2	0.9	0.2	0.7	1.3	0.7	0.8	0.2	1.4	0.6	0.2	0.6	2.7	0.7	0.8	1.4	0.7	1.0	0.1	1.4	0.9	0.8	0.7	0.7	0.7	0.1	0.7
'5	0.5	0.5	0.6	0.6	0.4	0.1	0.4	0.8	0.3	0.5	0.1	0.8	0.4	0.1	0.3	1.7	0.3	0.4	0.8	0.4	0.5	0.1	0.7	0.4	0.4	0.4	0.4	0.3	0.1	0.3
'6	0.3	0.4	0.4	0.4	0.2	0.0	0.3	0.6	0.2	0.3	0.0	0.4	0.2	0.0	0.2	1.1	0.2	0.2	0.5	0.2	0.3	0.1	0.5	0.3	0.2	0.2	0.2	0.2	0.0	0.2
'7	0.2	0.2	0.2	0.2	0.2	0.0	0.2	0.3	0.1	0.2	0.0	0.3	0.2	0.0	0.1	0.8	0.1	0.1	0.3	0.1	0.2	0.0	0.3	0.1	0.1	0.1	0.1	0.1	0.0	0.1
'8	0.1	0.2	0.2	0.1	0.1	0.0	0.1	0.2	0.1	0.1	0.0	0.2	0.1	0.0	0.1	0.6	0.1	0.1	0.2	0.1	0.1	0.0	0.2	0.1	0.1	0.1	0.1	0.1	0.0	0.1
'9	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.0	0.1	0.5	0.1	0.0	0.1	0.1	0.1	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.0	0.0
'10	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.4	0.0	0.0	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.1	0.1	0.1	0.2	0.2	0.0	0.2	0.3	0.1	0.2	0.0	0.2	0.2	0.0	0.1	1.2	0.1	0.1	0.1	0.1	0.2	0.0	0.4	0.1	0.1	0.1	0.1	0.1	0.0	0.1
16-20	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.0	0.1	0.5	0.1	0.1	0.0	0.1	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.0	0.1	0.8	0.1	0.1	0.0	0.1	0.1	0.0	0.2	0.1	0.1	0.1	0.1	0.1	0.0	0.1
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	6913	5319	5238	13163	8867	4334	13477	6731	10094	14936	4726	15726	12334	4590	6316	16229	9658	6626	7575	8377	15071	8415	15911	9051	9188	10637	10705	10569	7307	10475
'2	5166	4172	4040	6516	5374	3544	5464	5350	4548	6334	3184	8048	4664	3450	4038	11836	4672	5436	6028	5280	8038	1706	7806	4374	4748	4432	4604	4332	1468	4146
'3	3681	3477	3213	4530	3711	1644	3219	4698	2931	3465	1350	5613	2754	1488	2622	9504	2727	3402	4794	3465	4707	735	5226	3381	3198	2820	3120	2964	540	2865
'4	2592	2708	2428	3232	2444	580	2016	3460	1956	2168	528	3716	1744	564	1560	7480	1824	2136	3764	2040	2876	352	3700	2368	2224	1920	2004	1788	372	1972
'5	1845	1785	2000	2210	1525	230	1335	2690	1190	1625	225	2605	1235	265	910	5690	1055	1345	2830	1485	1880	300	2545	1500	1395	1390	1245	1155	240	1150
'6	1128	1566	1596	1614	1026	120	1080	2298	750	1104	186	1680	852	126	714	4602	690	744	1962	882	1302	246	1932	1122	948	804	918	660	198	900
'7	791	1176	1113	924	889	126	903	1554	413	791	112	1267	854	77	364	3808	588	637	1435	693	1120	196	1505	616	574	574	567	490	189	490
'8	464	848	920	776	592	40	640	1280	344	664	80	912	632	56	344	3336	400	432	824	424	776	128	1248	480	448	416	336	376	128	384
'9	396	540	585	468	594	99	594	909	243	576	63	684	684	72	315	3186	414	288	666	423	630	135	990	279	297	342	207	270	99	279
'10	370	580	390	350	410	60	570	640	230	500	50	730	480	40	220	2660	340	330	480	370	460	80	890	210	280	310	150	190	80	290
11-15	1104	999	1155	1583	1673	127	1536	2643	793	1771	226	1836	1520	130	801	10264	1187	1021	1128	866	1409	358	3608	757	681	1132	851	595	309	700
16-20	667	589	387	685	928	94	778	1356	335	1113	51	872	790	51	737	6419	709	704	479	860	723	171	1833	403	444	440	480	474	177	595
21-50	1934	1686	902	1578	1832	81	2166	2792	1040	2544	145	2482	1808	36	1717	16296	1508	1487	916	1787	1659	309	4186	1150	1221	1334	1225	1301	867	1323
51-100	528	450	114	575	561	79	766	1120	482	1168	75	724	490	97	1705	6885	242	476	426	579	494	484	1529	302	292	765	340	339	292	632
101-150	106	108	0	375	0	381	110	650	111	107	131	119	370	104	472	2892	508	0	147	239	0	137	493	134	0	239	239	149	0	267
151-200	0	0	0	355	0	0	362	303	375	379	200	168	384	0	0	1926	0	0	0	0	492	0	650	340	157	0	154	0	692	0
201-500	210	0	0	0	224	660	528	429	0	252	0	1095	395	933	773	4927	284	294	0	809	0	484	0	0	227	969	222	254	2039	262
501-1000	0	0	0	0	0	0	0	508	0	0	523	0	0	569	0	2919	0	0	0	0	0	0	0	0	0	0	0	0	664	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1448	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	17.2	17.7	19.8	25.9	23.5	32.3	26.7	13.5	30.3	25.6	36.9	23.7	23.8	33.9	17.7	7.5	27.5	19.6	20.0	22.6	27.7	53.1	22.9	28.1	26.1	29.3	30.8	31.4	44.8	30.9
'2	12.9	13.9	15.3	12.8	14.2	26.4	10.8	10.8	13.7	10.9	24.8	12.1	9.0	25.5	11.3	5.5	13.3	16.1	15.9	14.2	14.8	10.8	11.2	13.6	13.5	12.2	13.2	12.9	9.0	12.2
'3	9.2	11.6	12.1	8.9	9.8	12.2	6.4	9.5	8.8	5.9	10.5	8.5	5.3	11.0	7.4	4.4	7.8	10.1	12.7	9.3	8.7	4.6	7.5	10.5	9.1	7.8	9.0	8.8	3.3	8.5
'4	6.5	9.0	9.2	6.4	6.5	4.3	4.0	7.0	5.9	3.7	4.1	5.6	3.4	4.2	4.4	3.5	5.2	6.3	9.9	5.5	5.3	2.2	5.3	7.3	6.3	5.3	5.8	5.3	2.3	5.8
'5	4.6	5.9	7.6	4.3	4.0	1.7	2.6	5.4	3.6	2.8	1.8	3.9	2.4	2.0	2.6	2.6	3.0	4.0	7.5	4.0	3.5	1.9	3.7	4.7	4.0	3.8	3.6	3.4	1.5	3.4
'6	2.8	5.2	6.0	3.2	2.7	0.9	2.1	4.6	2.3	1.9	1.5	2.5	1.6	0.9	2.0	2.1	2.0	2.2	5.2	2.4	2.4	1.6	2.8	3.5	2.7	2.2	2.6	2.0	1.2	2.7
'7	2.0	3.9	4.2	1.8	2.4	0.9	1.8	3.1	1.2	1.4	0.9	1.9	1.6	0.6	1.0	1.8	1.7	1.9	3.8	1.9	2.1	1.2	2.2	1.9	1.6	1.6	1.6	1.5	1.2	1.4
'8	1.2	2.8	3.5	1.5	1.6	0.3	1.3	2.6	1.0	1.1	0.6	1.4	1.2	0.4	1.0	1.5	1.1	1.3	2.2	1.1	1.4	0.8	1.8	1.5	1.3	1.1	1.0	1.1	0.8	1.1
'9	1.0	1.8	2.2	0.9	1.6	0.7	1.2	1.8	0.7	1.0	0.5	1.0	1.3	0.5	0.9	1.5	1.2	0.9	1.8	1.1	1.2	0.9	1.4	0.9	0.8	0.9	0.6	0.8	0.6	0.8
'10	0.9	1.9	1.5	0.7	1.1	0.4	1.1	1.3	0.7	0.9	0.4	1.1	0.9	0.3	0.6	1.2	1.0	1.0	1.3	1.0	0.8	0.5	1.3	0.7	0.8	0.9	0.4	0.6	0.5	0.9
11-15	2.8	3.3	4.4	3.1	4.4	0.9	3.0	5.3	2.4	3.0	1.8	2.8	2.9	1.0	2.2	4.7	3.4	3.0	3.0	2.3	2.6	2.3	5.2	2.3	1.9	3.1	2.4	1.8	1.9	2.1
16-20	1.7	2.0	1.5	1.3	2.5	0.7	1.5	2.7	1.0	1.9	0.4	1.3	1.5	0.4	2.1	3.0	2.0	2.1	1.3	2.3	1.3	1.1	2.6	1.2	1.3	1.2	1.4	1.4	1.1	1.8
21-50	4.8	5.6	3.4	3.1	4.8	0.6	4.3	5.6	3.1	4.4	1.1	3.7	3.5	0.3	4.8	7.5	4.3	4.4	2.4	4.8	3.1	1.9	6.0	3.6	3.5	3.7	3.5	3.9	5.3	3.9
51-100	1.3	1.5	0.4	1.1	1.5	0.6	1.5	2.3	1.4	2.0	0.6	1.1	0.9	0.7	4.8	3.2	0.7	1.4	1.1	1.6	0.9	3.1	2.2	0.9	0.8	2.1	1.0	1.0	1.8	1.9
101-150	0.3	0.4	0.0	0.7	0.0	2.8	0.2	1.3	0.3	0.2	1.0	0.2	0.7	0.8	1.3	1.3	1.4	0.0	0.4	0.6	0.0	0.9	0.7	0.4	0.0	0.7	0.7	0.4	0.0	0.8
151-200	0.0	0.0	0.0	0.7	0.0	0.0	0.7	0.6	1.1	0.6	1.6	0.3	0.7	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.9	0.0	0.9	1.1	0.4	0.0	0.4	0.0	4.2	0.0
201-500	0.5	0.0	0.0	0.0	0.6	4.9	1.0	0.9	0.0	0.4	0.0	1.7	0.8	6.9	2.2	2.3	0.8	0.9	0.0	2.2	0.0	3.1	0.0	0.0	0.6	2.7	0.6	0.8	12.5	0.8
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.1	0.0	0.0	4.2	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
